feature_name,feature_label,feature_group,feature_family,task_specific,diagnostic_strength,direction_consistency,language_specificity,task_specificity_score,valid_cells,valid_languages,valid_manifest_tasks,valid_paper_task_labels,stability_score,interpretation_category,language_specificity_threshold,task_specificity_threshold
ac_egemaps_loudness_sma3_percentile20_0,loudness p20,ac,acoustic,False,1.8905519614664152,0.75,0.998605928486619,2.0095060667179276,4,2,4,FC|FT|PD,11,language-task confounded,0.30153161635750253,0.37651289142833966
syn_num_ratio,num ratio,syn,syntax,False,0.5882218795434963,0.5,0.36157553852711277,0.4187419159288815,8,4,6,FC|FT|NA|PD,11,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_loudness_sma3_stddevrisingslope,loudness rising slope,ac,acoustic,False,1.2655800227192642,0.75,0.8712502318405672,0.9951538983742833,4,2,4,FC|FT|PD,10,language-task confounded,0.30153161635750253,0.37651289142833966
ac_egemaps_loudness_sma3_stddevfallingslope,egemaps loudness sma3 stddevfal...,ac,acoustic,False,1.2442453812290257,0.75,0.8772936221341192,0.9710421652569372,4,2,4,FC|FT|PD,10,language-task confounded,0.30153161635750253,0.37651289142833966
sx_mean_log_lemma_freq,mean log lemma freq,sx,syntax,False,0.6131297656217336,0.5,0.674294251617297,0.6410405245477893,8,4,6,FC|FT|NA|PD,10,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
lex_mattr_20,MATTR 20,lex,lexical,False,0.6022707546303676,0.875,0.3984321986787172,0.33816739205553265,8,4,6,FC|FT|NA|PD,10,language-sensitive candidate,0.30153161635750253,0.37651289142833966
ac_rms_std,rms std,ac,acoustic,False,1.2053074712901013,0.75,0.8992327996593595,0.9642475025870129,4,2,4,FC|FT|PD,9,language-task confounded,0.30153161635750253,0.37651289142833966
syn_pronoun_ratio,pronoun ratio,syn,syntax,False,0.9553249788742462,0.875,0.4683353669467899,0.9344587329204275,8,4,6,FC|FT|NA|PD,9,language-task confounded,0.30153161635750253,0.37651289142833966
lex_std_token_length,std token length,lex,lexical,False,0.5533725856497711,0.875,0.5021751801736691,0.5129620871402688,8,4,6,FC|FT|NA|PD,8,language-task confounded,0.30153161635750253,0.37651289142833966
len_utterance_count,utterance count,len,length/rate,False,0.5136301795352782,0.625,0.582307489453985,0.5122552310264543,8,4,6,FC|FT|NA|PD,8,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
syn_utterance_count,utterance count,syn,syntax,False,0.5136301795352782,0.625,0.582307489453985,0.5122552310264543,8,4,6,FC|FT|NA|PD,8,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_loudness_sma3_percentile50_0,egemaps loudness sma3 percentil...,ac,acoustic,False,1.1853972389020633,0.75,0.5922569886101959,1.3158410889747403,4,2,4,FC|FT|PD,7,language-task confounded,0.30153161635750253,0.37651289142833966
ac_egemaps_loudness_sma3_meanrisingslope,egemaps loudness sma3 meanrisin...,ac,acoustic,False,1.0805788810991777,0.75,0.7686870689843059,0.7998032962130404,4,2,4,FC|FT|PD,7,language-task confounded,0.30153161635750253,0.37651289142833966
ac_rms_mean,rms mean,ac,acoustic,False,1.0107436005560175,0.5,0.7609774402272438,1.0190217925032574,4,2,4,FC|FT|PD,7,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
syn_pronoun_noun_ratio,pronoun noun ratio,syn,syntax,False,0.874852851503406,0.875,0.4429296222430313,0.9413488221264928,8,4,6,FC|FT|NA|PD,7,language-task confounded,0.30153161635750253,0.37651289142833966
syn_aux_ratio,aux ratio,syn,syntax,False,0.6819259802068434,1.0,0.3948433194982658,0.5957766768919782,8,4,6,FC|FT|NA|PD,7,language-task confounded,0.30153161635750253,0.37651289142833966
syn_noun_ratio,noun ratio,syn,syntax,False,0.6571698859536992,0.875,0.26202076216132486,0.3078196750781035,8,4,6,FC|FT|NA|PD,7,translingual candidate,0.30153161635750253,0.37651289142833966
lex_content_word_ratio,content-word ratio,lex,lexical,False,0.5921477348372943,0.75,0.5821089556388572,0.309869589796654,8,4,6,FC|FT|NA|PD,7,language-sensitive candidate,0.30153161635750253,0.37651289142833966
lex_mattr_10,MATTR 10,lex,lexical,False,0.5798110537597114,1.0,0.3100650181493275,0.20895444249986073,8,4,6,FC|FT|NA|PD,7,language-sensitive candidate,0.30153161635750253,0.37651289142833966
syn_clause_density,clause density,syn,syntax,False,0.5249395455293209,0.75,0.49000396222205667,0.38409648568220006,8,4,6,FC|FT|NA|PD,7,language-task confounded,0.30153161635750253,0.37651289142833966
sx_rare_lemma_ratio,rare lemma ratio,sx,syntax,False,0.3414834333882779,0.6,0.5518729465179811,0.42509458879421974,8,4,6,FC|FT|NA|PD,7,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_loudness_sma3_amean,egemaps loudness sma3 amean,ac,acoustic,False,1.044349645270742,0.5,0.6387809049280101,1.0557702656446915,4,2,4,FC|FT|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_loudness_sma3_meanfallingslope,egemaps loudness sma3 meanfalli...,ac,acoustic,False,1.0275612950059554,0.75,0.7205494687403313,0.7641016498310632,4,2,4,FC|FT|PD,6,language-task confounded,0.30153161635750253,0.37651289142833966
ac_egemaps_mfcc1_sma3_amean,egemaps mfcc1 sma3 amean,ac,acoustic,False,0.9816584011346914,0.5,0.8388502164586401,1.0507816009055577,4,2,4,FC|FT|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_loudness_sma3_pctlrange0_2,egemaps loudness sma3 pctlrange0 2,ac,acoustic,False,0.9315143533409088,0.75,0.6694587848182885,0.7210003248890179,4,2,4,FC|FT|PD,6,language-task confounded,0.30153161635750253,0.37651289142833966
pause_silence_ratio,silence ratio,pause,pause/fluency,False,0.8326736647722182,0.6,0.015472486108773567,0.9404072353008217,5,2,4,FC|FT|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
pause_speaking_to_total_ratio,speaking to total ratio,pause,pause/fluency,False,0.8295428247298593,0.6,0.01938603616172245,0.9384563786066457,5,2,4,FC|FT|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
pause_median_duration,median duration,pause,pause/fluency,False,0.7990957733328896,0.6,0.16542753992138748,0.8558745846481682,5,2,4,FC|FT|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
pause_mean_duration,mean duration,pause,pause/fluency,False,0.7825204200668324,0.6,0.312209435847396,0.94727142866414,5,2,4,FC|FT|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
pause_std_duration,std duration,pause,pause/fluency,False,0.6934014912344305,0.6,0.29078804316268053,0.8135319195285455,5,2,4,FC|FT|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
lex_mean_token_length,mean token length,lex,lexical,False,0.5518871830602076,0.75,0.4627026432752905,0.4037538855927469,8,4,6,FC|FT|NA|PD,6,language-task confounded,0.30153161635750253,0.37651289142833966
syn_determiner_ratio,determiner ratio,syn,syntax,False,0.5097550787206255,0.5,0.3699564439743162,0.6516389282754699,8,4,6,FC|FT|NA|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
syn_std_dependency_length,std dependency length,syn,syntax,False,0.46655162553918805,0.625,0.49663225393596255,0.23450260063891595,8,4,6,FC|FT|NA|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
sx_function_word_ratio_lexicon,function word ratio lexicon,sx,syntax,False,0.4476068712396741,0.625,0.11771693668525035,0.4223944931157039,8,4,6,FC|FT|NA|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
sx_content_word_ratio_lexicon,content word ratio lexicon,sx,syntax,False,0.4476068712396741,0.625,0.11771693668525313,0.4223944931157033,8,4,6,FC|FT|NA|PD,6,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
sx_sentence_length_q50,sentence length q50,sx,syntax,False,0.3021632923576519,0.75,0.25517436136740185,0.3186952703842862,8,4,6,FC|FT|NA|PD,6,translingual candidate,0.30153161635750253,0.37651289142833966
ac_mfcc_1_mean,mfcc 1 mean,ac,acoustic,False,2.2088078008165644,0.75,1.1096412153096162,2.069298604476541,4,2,4,FC|FT|PD,5,language-task confounded,0.30153161635750253,0.37651289142833966
ac_egemaps_f1amplitudelogrelf0_sma3nz_stddevnorm,egemaps f1amplitudelogrelf0 sma...,ac,acoustic,False,1.2361053897790533,0.5,0.8080812586300316,1.7639855530355009,4,2,4,FC|FT|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_meanvoicedsegmentlengthsec,egemaps meanvoicedsegmentlengthsec,ac,acoustic,False,1.0774512168844441,1.0,0.7107604892686799,1.312597083748722,4,2,4,FC|FT|PD,5,language-task confounded,0.30153161635750253,0.37651289142833966
ac_egemaps_spectralflux_sma3_amean,egemaps spectralflux sma3 amean,ac,acoustic,False,1.0208324057331957,0.5,0.6447828735360541,1.0227166072733411,4,2,4,FC|FT|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_spectralfluxv_sma3nz_amean,egemaps spectralfluxv sma3nz amean,ac,acoustic,False,0.9912660949815129,0.5,0.7008952116347651,0.9921768240002996,4,2,4,FC|FT|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_spectralfluxuv_sma3nz_amean,egemaps spectralfluxuv sma3nz a...,ac,acoustic,False,0.9427261427356964,0.5,0.6037653700684797,0.9434285747452277,4,2,4,FC|FT|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
pause_iqr_duration,iqr duration,pause,pause/fluency,False,0.7797800240419366,0.6,0.09433716214305354,0.8740092186743448,5,2,4,FC|FT|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,egemaps spectralfluxv sma3nz st...,ac,acoustic,False,0.7765049147125852,0.75,0.6718058628044584,0.6004444469641572,4,2,4,FC|FT|PD,5,language-task confounded,0.30153161635750253,0.37651289142833966
pause_to_speech_ratio,to speech ratio,pause,pause/fluency,False,0.7258444761480003,0.6,0.07262017521246053,0.8813894902636311,5,2,4,FC|FT|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_spectralflux_sma3_stddevnorm,egemaps spectralflux sma3 stdde...,ac,acoustic,False,0.7252090276109641,0.5,0.4267776172586147,0.7335496283195764,4,2,4,FC|FT|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_loudness_sma3_stddevnorm,egemaps loudness sma3 stddevnorm,ac,acoustic,False,0.6311563788181169,0.5,0.4968429547185136,0.637863017802802,4,2,4,FC|FT|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
syn_adp_ratio,adp ratio,syn,syntax,False,0.5885636977275609,0.625,0.2051046334815869,0.6532974370453838,8,4,6,FC|FT|NA|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
pause_total_duration,total duration,pause,pause/fluency,False,0.534910714494945,0.6,0.16592760701024728,0.5955057935829953,5,2,4,FC|FT|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
disc_adjacent_utterance_similarity_std,adjacent utterance similarity std,disc,discourse,False,0.5151689838135648,0.5,0.44093959199050026,0.42994163680702774,8,4,6,FC|FT|NA|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
syn_mean_dependency_length,mean dependency length,syn,syntax,False,0.4711216905856621,0.5,0.5479033438563968,0.265556534754108,8,4,6,FC|FT|NA|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
graph_edge_count,edge count,graph,graph,False,0.45095678930495,0.625,0.4599997139211763,0.6741226889882285,8,4,6,FC|FT|NA|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
syn_subordination_ratio,subordination ratio,syn,syntax,False,0.4341745092008313,0.75,0.4227065358744601,0.25251871451372265,8,4,6,FC|FT|NA|PD,5,language-sensitive candidate,0.30153161635750253,0.37651289142833966
syn_max_dependency_length,max dependency length,syn,syntax,False,0.42618918510298015,0.625,0.3855599818620913,0.2574379903844967,8,4,6,FC|FT|NA|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
sx_sentence_length_q25,sentence length q25,sx,syntax,False,0.23856872997336076,0.625,0.22204778550930818,0.21477742695466948,8,4,6,FC|FT|NA|PD,5,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
ac_egemaps_slopeuv0_500_sma3nz_amean,egemaps slopeuv0 500 sma3nz amean,ac,acoustic,False,1.1284403114168982,0.75,0.0798954525828035,0.8506304790998404,4,2,4,FC|FT|PD,4,task-sensitive,0.30153161635750253,0.37651289142833966
rd_sequence_match_ratio,sequence match ratio,rd,task:reading,True,0.9735884464348251,1.0,,,1,1,1,NA,4,unstable / insufficient evidence,0.30153161635750253,0.37651289142833966
