feature_name,feature_label,feature_group,feature_family,task_specific,diagnostic_strength,direction_consistency,language_specificity,task_specificity_score,valid_cells,valid_languages,valid_manifest_tasks,valid_paper_task_labels,stability_score,interpretation_category,language_specificity_threshold,task_specificity_threshold,display_name,category_order
syn_num_ratio,num ratio,syn,syntax,False,0.8433355765933938,0.6666666666666666,0.9878459319707129,,3,3,1,FT|PD,8,unstable / insufficient evidence,0.21927164143416636,0.0,num ratio,4
syn_std_dependency_length,std dependency length,syn,syntax,False,0.865709161174696,0.6666666666666666,0.9965253822952527,,3,3,1,FT|PD,5,unstable / insufficient evidence,0.21927164143416636,0.0,std dependency length,4
syn_mean_dependency_length,mean dependency length,syn,syntax,False,0.862222532845658,0.6666666666666666,1.0701407813920218,,3,3,1,FT|PD,5,unstable / insufficient evidence,0.21927164143416636,0.0,mean dependency length,4
lex_content_word_ratio,content-word ratio,lex,lexical,False,0.8260843045309955,0.6666666666666666,0.9277053239077094,,3,3,1,FT|PD,5,unstable / insufficient evidence,0.21927164143416636,0.0,content-word ratio,4
lex_std_token_length,std token length,lex,lexical,False,0.5485611523024261,0.6666666666666666,0.6833415185369119,,3,3,1,FT|PD,5,unstable / insufficient evidence,0.21927164143416636,0.0,std token length,4
sx_sentence_length_q25,sentence length q25,sx,syntax,False,0.3861830661951237,0.6666666666666666,0.40844235520297206,,3,3,1,FT|PD,5,unstable / insufficient evidence,0.21927164143416636,0.0,sentence length q25,4
sx_sentence_length_q50,sentence length q50,sx,syntax,False,0.38180278591240985,1.0,0.3980073032305092,,3,3,1,FT|PD,5,language-sensitive candidate,0.21927164143416636,0.0,sentence length q50,1
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,egemaps spectralfluxv sma3nz st...,ac,acoustic,False,0.8805328750105956,1.0,,,1,1,1,FT|PD,4,unstable / insufficient evidence,0.21927164143416636,0.0,egemaps spectralfluxv sma3nz stddev...,4
ac_egemaps_loudness_sma3_stddevnorm,egemaps loudness sma3 stddevnorm,ac,acoustic,False,0.7554435685995259,1.0,,,1,1,1,FT|PD,4,unstable / insufficient evidence,0.21927164143416636,0.0,egemaps loudness sma3 stddevnorm,4
syn_max_dependency_length,max dependency length,syn,syntax,False,0.7403285379264481,0.6666666666666666,0.8576002593569325,,3,3,1,FT|PD,4,unstable / insufficient evidence,0.21927164143416636,0.0,max dependency length,4
ac_egemaps_loudness_sma3_stddevfallingslope,egemaps loudness sma3 stddevfal...,ac,acoustic,False,0.7147576973709566,1.0,,,1,1,1,FT|PD,4,unstable / insufficient evidence,0.21927164143416636,0.0,egemaps loudness sma3 stddevfalling...,4
ac_egemaps_spectralflux_sma3_stddevnorm,egemaps spectralflux sma3 stdde...,ac,acoustic,False,0.709788824234043,1.0,,,1,1,1,FT|PD,4,unstable / insufficient evidence,0.21927164143416636,0.0,egemaps spectralflux sma3 stddevnorm,4
