language,task_type,cell_id,cell_label,paper_task_labels,paper_task_labels_display,datasets,ad_groups,hc_groups,valid_cell_min5,robust_cell_min10
el,MOTOR_SPEECH,el|MOTOR_SPEECH,"EL PD+FT
MOTOR_SPEECH",PD|FT,PD|FT,DS3,10,3,0,0
el,OTHER,el|OTHER,"EL PD+FT
OTHER",PD|FT,PD|FT,DS3,0,4,0,0
el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,76,57,1,1
el,PICTURE_RECALL,el|PICTURE_RECALL,"EL PD+FT
PICTURE_RECALL",PD|FT,PD|FT,DS3,22,7,1,0
el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",PD|FT,PD|FT,DS3,24,8,1,0
en,COMMAND,en|COMMAND,"EN FC
COMMAND",FC,FC,VAS,29,36,1,1
en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",PD|FT,PD|FT,Kempler,4,0,0,0
en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",PD|FT|SR|NA,PD|FT|SR|Narrative (NA),Baycrest|Delaware|Kempler,4,177,0,0
en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",PD|FT|NA,PD|FT|Narrative (NA),Delaware|Kempler,1,1,0,0
en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,450,1261,1,1
es,CONVERSATION,es|CONVERSATION,"ES PD+FT+FC
CONVERSATION",PD|FT|FC,PD|FT|FC,PerLA,23,0,0,0
es,READING,es|READING,"ES NA
READING",NA,Narrative (NA),Ivanova,43,59,1,1
zh,OTHER,zh|OTHER,"ZH PD+FT+FC
OTHER",PD|FT|FC,PD|FT|FC,NCMMSC2021_AD,33,62,1,1
zh,PD_CTP,zh|PD_CTP,"ZH PD
PD_CTP",PD,PD,Predictive_Chinese_challenge_Chinese_2019|TAUKADIAL,38,89,1,1
