feature_name,feature_label,feature_group,feature_family,task_specific,diagnostic_strength,direction_consistency,language_specificity,task_specificity_score,valid_cells,valid_languages,valid_manifest_tasks,valid_paper_task_labels,stability_score,interpretation_category,language_specificity_threshold,task_specificity_threshold,display_name,category_order,category_label,category_prefix,family_color
pd_unique_units_ratio,PD unique units ratio,pd,task:PD,True,0.5748504821140353,1.0,0.21927164143416636,,3,3,1,FT|PD,10,translingual candidate,0.21927164143416636,0.0,PD unique units ratio,0,Translingual candidates,TL,#af7aa1
pd_percentage_units_mentioned,PD units mentioned,pd,task:PD,True,0.5748504821140353,1.0,0.21927164143416636,,3,3,1,FT|PD,10,translingual candidate,0.21927164143416636,0.0,PD units mentioned,0,Translingual candidates,TL,#af7aa1
pd_unique_units_count,PD unique units count,pd,task:PD,True,0.5606525014887563,1.0,0.1995096062930604,,3,3,1,FT|PD,11,translingual candidate,0.21927164143416636,0.0,PD unique units count,0,Translingual candidates,TL,#af7aa1
pd_num_unique_keywords,PD unique keywords,pd,task:PD,True,0.5413805234327131,1.0,0.20554141030612003,,3,3,1,FT|PD,10,translingual candidate,0.21927164143416636,0.0,PD unique keywords,0,Translingual candidates,TL,#af7aa1
pd_total_unit_mentions,total unit mentions,pd,task:PD,True,0.33974913885702307,1.0,0.16880937859983497,,3,3,1,FT|PD,9,translingual candidate,0.21927164143416636,0.0,total unit mentions,0,Translingual candidates,TL,#af7aa1
pd_num_total_keywords,num total keywords,pd,task:PD,True,0.33974913885702307,1.0,0.16880937859983497,,3,3,1,FT|PD,7,translingual candidate,0.21927164143416636,0.0,num total keywords,0,Translingual candidates,TL,#af7aa1
pd_semantic_similarity_to_unit_list,semantic similarity to unit list,pd,task:PD,True,0.14211886475213384,1.0,0.11387297658507714,,3,3,1,FT|PD,7,translingual candidate,0.21927164143416636,0.0,semantic similarity to unit list,0,Translingual candidates,TL,#af7aa1
pd_unique_unit_efficiency,unique unit efficiency,pd,task:PD,True,0.5834561241013151,1.0,0.37615401529868486,,2,2,1,FT|PD,6,language-sensitive candidate,0.21927164143416636,0.0,unique unit efficiency,1,Language-sensitive candidates,LS,#af7aa1
pd_detected_prompt_score,detected prompt score,pd,task:PD,True,0.34034601317254337,1.0,0.3619519827533015,,3,3,1,FT|PD,9,language-sensitive candidate,0.21927164143416636,0.0,detected prompt score,1,Language-sensitive candidates,LS,#af7aa1
pd_content_density,content density,pd,task:PD,True,0.29627252053789105,1.0,0.2916285144381964,,3,3,1,FT|PD,7,language-sensitive candidate,0.21927164143416636,0.0,content density,1,Language-sensitive candidates,LS,#af7aa1
pd_total_unit_density,total unit density,pd,task:PD,True,0.29627252053789105,1.0,0.2916285144381964,,3,3,1,FT|PD,7,language-sensitive candidate,0.21927164143416636,0.0,total unit density,1,Language-sensitive candidates,LS,#af7aa1
pd_total_unit_efficiency,total unit efficiency,pd,task:PD,True,0.40695825161643795,1.0,0.27047216324083595,,2,2,1,FT|PD,5,language-sensitive candidate,0.21927164143416636,0.0,total unit efficiency,1,Language-sensitive candidates,LS,#af7aa1
