feature_name,feature_label,feature_group,feature_family,task_specific,diagnostic_strength,direction_consistency,language_specificity,task_specificity_score,valid_cells,valid_languages,valid_manifest_tasks,valid_paper_task_labels,stability_score,interpretation_category,language_specificity_threshold,task_specificity_threshold,display_name,category_order,category_label,category_prefix,family_color
syn_pronoun_ratio,pronoun ratio,syn,syntax,False,0.6124273767886331,1.0,0.08150317675604458,,3,3,1,FT|PD,3,translingual candidate,0.21814781975637904,0.0,pronoun ratio,0,Translingual candidates,TL,#b07aa1
pause_median_duration,median duration,pause,pause/fluency,False,0.6085673017649142,1.0,0.12018684253710404,,2,2,1,FT|PD,2,translingual candidate,0.21814781975637904,0.0,median duration,0,Translingual candidates,TL,#e15759
sx_pairwise_similarity_std,pairwise similarity std,sx,syntax,False,0.5148905086472956,1.0,0.19559176914160803,,3,3,1,FT|PD,2,translingual candidate,0.21814781975637904,0.0,pairwise similarity std,0,Translingual candidates,TL,#9c755f
pause_silence_ratio,silence ratio,pause,pause/fluency,False,0.49193917781373053,1.0,0.02832468749703851,,2,2,1,FT|PD,1,translingual candidate,0.21814781975637904,0.0,silence ratio,0,Translingual candidates,TL,#e15759
pause_speaking_to_total_ratio,speaking to total ratio,pause,pause/fluency,False,0.48411207770783216,1.0,0.020497587391140604,,2,2,1,FT|PD,1,translingual candidate,0.21814781975637904,0.0,speaking to total ratio,0,Translingual candidates,TL,#e15759
syn_pronoun_noun_ratio,pronoun noun ratio,syn,syntax,False,0.4787390326832664,1.0,0.20689929673575236,,3,3,1,FT|PD,1,translingual candidate,0.21814781975637904,0.0,pronoun noun ratio,0,Translingual candidates,TL,#b07aa1
syn_aux_verb_ratio,aux verb ratio,syn,syntax,False,0.46968520647919504,1.0,0.17149708398097538,,3,3,1,FT|PD,1,translingual candidate,0.21814781975637904,0.0,aux verb ratio,0,Translingual candidates,TL,#b07aa1
pause_iqr_duration,iqr duration,pause,pause/fluency,False,0.44200985374435775,1.0,0.005013098239237318,,2,2,1,FT|PD,1,translingual candidate,0.21814781975637904,0.0,iqr duration,0,Translingual candidates,TL,#e15759
pause_medium_count,medium pauses,pause,pause/fluency,False,0.43639436887955046,1.0,0.07067956547999082,,2,2,1,FT|PD,0,translingual candidate,0.21814781975637904,0.0,medium pauses,0,Translingual candidates,TL,#e15759
pause_long_ratio,long ratio,pause,pause/fluency,False,0.4169143334645895,1.0,0.16758233388413346,,2,2,1,FT|PD,0,translingual candidate,0.21814781975637904,0.0,long ratio,0,Translingual candidates,TL,#e15759
