feature_name,importance_mean,importance_std,feature_group,slice_slug,language,task
syn_aux_ratio,0.0882333936417678,0.0152519782449679,syn,en_cookie_theft,English,Cookie Theft
syn_pronoun_ratio,0.0669165158955802,0.0246155114672034,syn,en_cookie_theft,English,Cookie Theft
syn_mean_dependency_length,0.0497544585164124,0.0057584582215459,syn,en_cookie_theft,English,Cookie Theft
syn_num_ratio,0.0479516670974411,0.0124105193372865,syn,en_cookie_theft,English,Cookie Theft
syn_clause_density,0.0344921168260532,0.0151096698821215,syn,en_cookie_theft,English,Cookie Theft
graph_density,0.0328896355647454,0.0108694901715391,graph,en_cookie_theft,English,Cookie Theft
syn_determiner_ratio,0.0260532437322305,0.0210649796951936,syn,en_cookie_theft,English,Cookie Theft
len_utterance_count,0.0171362109072111,0.0092259731986521,len,en_cookie_theft,English,Cookie Theft
syn_utterance_count,0.0171362109072111,0.0092259731986521,syn,en_cookie_theft,English,Cookie Theft
lex_function_word_ratio,0.0150878780046523,0.0087855908842413,lex,en_cookie_theft,English,Cookie Theft
len_speech_duration,0.1985294117647059,0.0643119694284408,len,zh_cookie_theft,Chinese,Cookie Theft
lex_mattr_20,0.1176470588235294,0.0415945165403851,lex,zh_cookie_theft,Chinese,Cookie Theft
disc_repeated_trigram_ratio,0.1110294117647058,0.0370138616136859,disc,zh_cookie_theft,Chinese,Cookie Theft
syn_adp_ratio,0.1,0.05,syn,zh_cookie_theft,Chinese,Cookie Theft
syn_determiner_noun_ratio,0.0941176470588235,0.0335829036666742,syn,zh_cookie_theft,Chinese,Cookie Theft
syn_nsubj_ratio,0.0933823529411764,0.0279605196203405,syn,zh_cookie_theft,Chinese,Cookie Theft
graph_node_count,0.088235294117647,0.0359467840046479,graph,zh_cookie_theft,Chinese,Cookie Theft
len_type_count,0.088235294117647,0.0359467840046479,len,zh_cookie_theft,Chinese,Cookie Theft
disc_adjacent_utterance_similarity_mean,0.0816176470588235,0.0370138616136859,disc,zh_cookie_theft,Chinese,Cookie Theft
disc_local_coherence,0.0816176470588235,0.0370138616136859,disc,zh_cookie_theft,Chinese,Cookie Theft
ac_egemaps_f3frequency_sma3nz_stddevnorm,0.1454545454545455,0.0530086535895027,ac,el_lion_scene,Greek,Lion Scene
ac_egemaps_jitterlocal_sma3nz_amean,0.1363636363636364,0.0287479787288034,ac,el_lion_scene,Greek,Lion Scene
lex_honore,0.1000000000000001,0.0181818181818181,lex,el_lion_scene,Greek,Lion Scene
par_mfcc_12_skew,0.1000000000000001,0.0340150671524903,par,el_lion_scene,Greek,Lion Scene
par_mfcc_10_std,0.1,0.0340150671524903,par,el_lion_scene,Greek,Lion Scene
par_mfcc_5_skew,0.1,0.0181818181818181,par,el_lion_scene,Greek,Lion Scene
par_mfcc_9_kurtosis,0.1,0.0340150671524903,par,el_lion_scene,Greek,Lion Scene
ac_egemaps_spectralflux_sma3_stddevnorm,0.0909090909090909,0.0497929597731969,ac,el_lion_scene,Greek,Lion Scene
par_mfcc_8_kurtosis,0.0909090909090909,0.0287479787288034,par,el_lion_scene,Greek,Lion Scene
ac_egemaps_mfcc4_sma3_stddevnorm,0.0909090909090909,0.0497929597731969,ac,el_lion_scene,Greek,Lion Scene
rd_sequence_match_ratio,0.2530232558139534,0.0478906673023312,rd,es_reading,Spanish,Reading
rd_content_word_recall_ratio,0.0545736434108526,0.0513049469766784,rd,es_reading,Spanish,Reading
rd_repetition_ratio,0.0246511627906976,0.0350963374081281,rd,es_reading,Spanish,Reading
rd_reference_bigram_coverage,0.0122480620155038,0.0360857500863334,rd,es_reading,Spanish,Reading
rd_reference_order_score,-0.0086821705426356,0.0163740308930647,rd,es_reading,Spanish,Reading
rd_reference_token_coverage,-0.0130232558139534,0.0261983393289486,rd,es_reading,Spanish,Reading
rd_omission_ratio,-0.0130232558139534,0.0261983393289486,rd,es_reading,Spanish,Reading
rd_insertion_ratio,-0.02,0.0179094934303177,rd,es_reading,Spanish,Reading
rd_prompt_similarity,-0.0223255813953488,0.0201096686723608,rd,es_reading,Spanish,Reading
