feature_name,feature_label,feature_group,feature_family,task_specific,diagnostic_strength,direction_consistency,language_specificity,task_specificity_score,valid_cells,valid_languages,valid_manifest_tasks,valid_paper_task_labels,stability_score,interpretation_category,language_specificity_threshold,task_specificity_threshold,display_name,category_order,category_label,category_prefix,family_color
syn_pronoun_ratio,pronoun ratio,syn,syntax,False,0.6124273767886331,1.0,0.08150317675604458,,3,3,1,FT|PD,2,translingual candidate,0.21927164143416636,0.0,pronoun ratio,0,Translingual candidates,TL,#b07aa1
pause_median_duration,median duration,pause,pause/fluency,False,0.6085673017649142,1.0,0.12018684253710404,,2,2,1,FT|PD,2,translingual candidate,0.21927164143416636,0.0,median duration,0,Translingual candidates,TL,#e15759
pd_unique_units_ratio,PD unique units ratio,pd,task:PD,True,0.5748504821140353,1.0,0.21927164143416636,,3,3,1,FT|PD,4,translingual candidate,0.21927164143416636,0.0,PD unique units ratio,0,Translingual candidates,TL,#af7aa1
pd_percentage_units_mentioned,PD units mentioned,pd,task:PD,True,0.5748504821140353,1.0,0.21927164143416636,,3,3,1,FT|PD,4,translingual candidate,0.21927164143416636,0.0,PD units mentioned,0,Translingual candidates,TL,#af7aa1
pd_unique_units_count,PD unique units count,pd,task:PD,True,0.5606525014887563,1.0,0.1995096062930604,,3,3,1,FT|PD,3,translingual candidate,0.21927164143416636,0.0,PD unique units count,0,Translingual candidates,TL,#af7aa1
pd_num_unique_keywords,PD unique keywords,pd,task:PD,True,0.5413805234327131,1.0,0.20554141030612003,,3,3,1,FT|PD,3,translingual candidate,0.21927164143416636,0.0,PD unique keywords,0,Translingual candidates,TL,#af7aa1
sx_pairwise_similarity_std,pairwise similarity std,sx,syntax,False,0.5148905086472956,1.0,0.19559176914160803,,3,3,1,FT|PD,2,translingual candidate,0.21927164143416636,0.0,pairwise similarity std,0,Translingual candidates,TL,#9c755f
pause_silence_ratio,silence ratio,pause,pause/fluency,False,0.49193917781373053,1.0,0.02832468749703851,,2,2,1,FT|PD,1,translingual candidate,0.21927164143416636,0.0,silence ratio,0,Translingual candidates,TL,#e15759
pause_speaking_to_total_ratio,speaking to total ratio,pause,pause/fluency,False,0.48411207770783216,1.0,0.020497587391140604,,2,2,1,FT|PD,1,translingual candidate,0.21927164143416636,0.0,speaking to total ratio,0,Translingual candidates,TL,#e15759
syn_pronoun_noun_ratio,pronoun noun ratio,syn,syntax,False,0.4787390326832664,1.0,0.20689929673575236,,3,3,1,FT|PD,1,translingual candidate,0.21927164143416636,0.0,pronoun noun ratio,0,Translingual candidates,TL,#b07aa1
syn_aux_verb_ratio,aux verb ratio,syn,syntax,False,0.46968520647919504,1.0,0.17149708398097538,,3,3,1,FT|PD,1,translingual candidate,0.21927164143416636,0.0,aux verb ratio,0,Translingual candidates,TL,#b07aa1
pause_iqr_duration,iqr duration,pause,pause/fluency,False,0.44200985374435775,1.0,0.005013098239237318,,2,2,1,FT|PD,1,translingual candidate,0.21927164143416636,0.0,iqr duration,0,Translingual candidates,TL,#e15759
lex_mattr_20,MATTR 20,lex,lexical,False,0.6938207328989358,1.0,0.5770953263335957,,3,3,1,FT|PD,4,language-sensitive candidate,0.21927164143416636,0.0,MATTR 20,1,Language-sensitive candidates,LS,#59a14f
lex_mattr_10,MATTR 10,lex,lexical,False,0.6253665141142717,1.0,0.5509406796280895,,3,3,1,FT|PD,2,language-sensitive candidate,0.21927164143416636,0.0,MATTR 10,1,Language-sensitive candidates,LS,#59a14f
syn_obl_ratio,obl ratio,syn,syntax,False,0.7000061972517325,1.0,0.5255698608329593,,3,3,1,FT|PD,3,language-sensitive candidate,0.21927164143416636,0.0,obl ratio,1,Language-sensitive candidates,LS,#b07aa1
disc_repeated_trigram_ratio,repeated trigram ratio,disc,discourse,False,0.47533938696723865,1.0,0.49883692087548254,,3,3,1,FT|PD,1,language-sensitive candidate,0.21927164143416636,0.0,repeated trigram ratio,1,Language-sensitive candidates,LS,#f28e2b
syn_interjection_ratio,interjection ratio,syn,syntax,False,0.3333789400803197,1.0,0.47146901847115547,,3,3,1,FT|PD,2,language-sensitive candidate,0.21927164143416636,0.0,interjection ratio,1,Language-sensitive candidates,LS,#b07aa1
len_speech_duration,speech duration,len,length/rate,False,0.5823574006287453,1.0,0.4605440416654758,,2,2,1,FT|PD,1,language-sensitive candidate,0.21927164143416636,0.0,speech duration,1,Language-sensitive candidates,LS,#edc948
disc_mean_pairwise_utt_similarity,utterance similarity,disc,discourse,False,0.7066591913136163,1.0,0.4468981233542485,,3,3,1,FT|PD,2,language-sensitive candidate,0.21927164143416636,0.0,utterance similarity,1,Language-sensitive candidates,LS,#f28e2b
