feature_name,feature_label,feature_group,feature_family,task_specific,diagnostic_strength,direction_consistency,language_specificity,task_specificity_score,valid_cells,valid_languages,valid_manifest_tasks,valid_paper_task_labels,stability_score,interpretation_category,language_specificity_threshold,task_specificity_threshold
syn_noun_ratio,noun ratio,syn,syntax,False,0.6571698859536992,0.875,0.26202076216132486,0.3078196750781035,8,4,6,FC|FT|NA|PD,7,translingual candidate,0.31259638486353397,0.37651289142833966
lex_mattr_10,MATTR 10,lex,lexical,False,0.5798110537597114,1.0,0.3100650181493275,0.20895444249986073,8,4,6,FC|FT|NA|PD,7,translingual candidate,0.31259638486353397,0.37651289142833966
sx_sentence_length_q50,sentence length q50,sx,syntax,False,0.3021632923576519,0.75,0.25517436136740185,0.3186952703842862,8,4,6,FC|FT|NA|PD,6,translingual candidate,0.31259638486353397,0.37651289142833966
syn_noun_verb_ratio,noun/verb ratio,syn,syntax,False,0.43485000770607984,0.875,0.04825845749913696,0.3482085427595349,8,4,6,FC|FT|NA|PD,4,translingual candidate,0.31259638486353397,0.37651289142833966
lex_hapax_ratio,hapax ratio,lex,lexical,False,0.37441355139548704,0.875,0.24960076625664207,0.25655954786214774,8,4,6,FC|FT|NA|PD,4,translingual candidate,0.31259638486353397,0.37651289142833966
syn_aux_verb_ratio,aux verb ratio,syn,syntax,False,0.4163741982764292,0.875,0.14945057838334494,0.25278131785237845,8,4,6,FC|FT|NA|PD,3,translingual candidate,0.31259638486353397,0.37651289142833966
disc_repeated_bigram_ratio,repeated bigram ratio,disc,discourse,False,0.40410334699626727,1.0,0.30117740513201174,0.24377345222386124,8,4,6,FC|FT|NA|PD,3,translingual candidate,0.31259638486353397,0.37651289142833966
graph_average_degree,average degree,graph,graph,False,0.39878259672529615,0.75,0.31259638486353397,0.3699636126930209,8,4,6,FC|FT|NA|PD,3,translingual candidate,0.31259638486353397,0.37651289142833966
lex_mattr_20,MATTR 20,lex,lexical,False,0.6022707546303676,0.875,0.3984321986787172,0.33816739205553265,8,4,6,FC|FT|NA|PD,10,language-sensitive candidate,0.31259638486353397,0.37651289142833966
lex_content_word_ratio,content-word ratio,lex,lexical,False,0.5921477348372943,0.75,0.5821089556388572,0.309869589796654,8,4,6,FC|FT|NA|PD,7,language-sensitive candidate,0.31259638486353397,0.37651289142833966
syn_subordination_ratio,subordination ratio,syn,syntax,False,0.4341745092008313,0.75,0.4227065358744601,0.25251871451372265,8,4,6,FC|FT|NA|PD,5,language-sensitive candidate,0.31259638486353397,0.37651289142833966
disc_mean_pairwise_utt_similarity,utterance similarity,disc,discourse,False,0.4830107606752531,0.875,0.4951737753924681,0.37193814678814185,8,4,6,FC|FT|NA|PD,4,language-sensitive candidate,0.31259638486353397,0.37651289142833966
lex_type_token_ratio,type token ratio,lex,lexical,False,0.4330301120192348,0.75,0.3324094971186024,0.29094824455354046,8,4,6,FC|FT|NA|PD,4,language-sensitive candidate,0.31259638486353397,0.37651289142833966
lex_repetition_rate,repetition rate,lex,lexical,False,0.4330301120192342,0.75,0.3324094971186021,0.290948244553541,8,4,6,FC|FT|NA|PD,4,language-sensitive candidate,0.31259638486353397,0.37651289142833966
disc_repeated_unigram_ratio,repeated unigram ratio,disc,discourse,False,0.4330301120192342,0.75,0.3324094971186021,0.290948244553541,8,4,6,FC|FT|NA|PD,3,language-sensitive candidate,0.31259638486353397,0.37651289142833966
lex_lemma_type_token_ratio,lemma type token ratio,lex,lexical,False,0.41080199601000555,0.875,0.32818342948385437,0.31554537534385657,8,4,6,FC|FT|NA|PD,3,language-sensitive candidate,0.31259638486353397,0.37651289142833966
ac_egemaps_slopeuv0_500_sma3nz_amean,egemaps slopeuv0 500 sma3nz amean,ac,acoustic,False,1.1284403114168982,0.75,0.0798954525828035,0.8506304790998404,4,2,4,FC|FT|PD,4,task-sensitive,0.31259638486353397,0.37651289142833966
ac_egemaps_mfcc4_sma3_stddevnorm,egemaps mfcc4 sma3 stddevnorm,ac,acoustic,False,0.9658617747467756,0.75,0.30809885888187194,0.9332355306801449,4,2,4,FC|FT|PD,4,task-sensitive,0.31259638486353397,0.37651289142833966
lex_function_word_ratio,function-word ratio,lex,lexical,False,0.5180197377859252,0.75,0.21728949474616235,0.413040532460545,8,4,6,FC|FT|NA|PD,4,task-sensitive,0.31259638486353397,0.37651289142833966
ac_egemaps_shimmerlocaldb_sma3nz_stddevnorm,egemaps shimmerlocaldb sma3nz s...,ac,acoustic,False,0.8179164277440075,0.75,0.0845143650635228,0.6559690662741468,4,2,4,FC|FT|PD,3,task-sensitive,0.31259638486353397,0.37651289142833966
syn_obj_ratio,object ratio,syn,syntax,False,0.5246326478073435,0.75,0.2967721494884395,0.5772768603771339,8,4,6,FC|FT|NA|PD,3,task-sensitive,0.31259638486353397,0.37651289142833966
ac_egemaps_slopev0_500_sma3nz_amean,egemaps slopev0 500 sma3nz amean,ac,acoustic,False,0.6073921163922993,0.75,0.13640152501288752,0.43861883969133253,4,2,4,FC|FT|PD,2,task-sensitive,0.31259638486353397,0.37651289142833966
ac_egemaps_alpharatiouv_sma3nz_amean,egemaps alpharatiouv sma3nz amean,ac,acoustic,False,0.43764608443320485,0.75,0.17251627614205498,0.42119884578513184,4,2,4,FC|FT|PD,2,task-sensitive,0.31259638486353397,0.37651289142833966
ac_egemaps_f1bandwidth_sma3nz_amean,egemaps f1bandwidth sma3nz amean,ac,acoustic,False,0.38860155995435214,0.75,0.1859600179319321,0.42291917588388206,4,2,4,FC|FT|PD,1,task-sensitive,0.31259638486353397,0.37651289142833966
ac_egemaps_loudness_sma3_percentile20_0,loudness p20,ac,acoustic,False,1.8905519614664152,0.75,0.998605928486619,2.0095060667179276,4,2,4,FC|FT|PD,11,language-task confounded,0.31259638486353397,0.37651289142833966
ac_egemaps_loudness_sma3_stddevrisingslope,loudness rising slope,ac,acoustic,False,1.2655800227192642,0.75,0.8712502318405672,0.9951538983742833,4,2,4,FC|FT|PD,10,language-task confounded,0.31259638486353397,0.37651289142833966
ac_egemaps_loudness_sma3_stddevfallingslope,egemaps loudness sma3 stddevfal...,ac,acoustic,False,1.2442453812290257,0.75,0.8772936221341192,0.9710421652569372,4,2,4,FC|FT|PD,10,language-task confounded,0.31259638486353397,0.37651289142833966
ac_rms_std,rms std,ac,acoustic,False,1.2053074712901013,0.75,0.8992327996593595,0.9642475025870129,4,2,4,FC|FT|PD,9,language-task confounded,0.31259638486353397,0.37651289142833966
syn_pronoun_ratio,pronoun ratio,syn,syntax,False,0.9553249788742462,0.875,0.4683353669467899,0.9344587329204275,8,4,6,FC|FT|NA|PD,9,language-task confounded,0.31259638486353397,0.37651289142833966
lex_std_token_length,std token length,lex,lexical,False,0.5533725856497711,0.875,0.5021751801736691,0.5129620871402688,8,4,6,FC|FT|NA|PD,8,language-task confounded,0.31259638486353397,0.37651289142833966
ac_egemaps_loudness_sma3_percentile50_0,egemaps loudness sma3 percentil...,ac,acoustic,False,1.1853972389020633,0.75,0.5922569886101959,1.3158410889747403,4,2,4,FC|FT|PD,7,language-task confounded,0.31259638486353397,0.37651289142833966
ac_egemaps_loudness_sma3_meanrisingslope,egemaps loudness sma3 meanrisin...,ac,acoustic,False,1.0805788810991777,0.75,0.7686870689843059,0.7998032962130404,4,2,4,FC|FT|PD,7,language-task confounded,0.31259638486353397,0.37651289142833966
syn_num_ratio,num ratio,syn,syntax,False,0.5882218795434963,0.5,0.36157553852711277,0.4187419159288815,8,4,6,FC|FT|NA|PD,11,unstable / insufficient evidence,0.31259638486353397,0.37651289142833966
sx_mean_log_lemma_freq,mean log lemma freq,sx,syntax,False,0.6131297656217336,0.5,0.674294251617297,0.6410405245477893,8,4,6,FC|FT|NA|PD,10,unstable / insufficient evidence,0.31259638486353397,0.37651289142833966
len_utterance_count,utterance count,len,length/rate,False,0.5136301795352782,0.625,0.582307489453985,0.5122552310264543,8,4,6,FC|FT|NA|PD,8,unstable / insufficient evidence,0.31259638486353397,0.37651289142833966
