feature_name,feature_label,feature_group,feature_family,task_specific,diagnostic_strength,direction_consistency,language_specificity,task_specificity_score,valid_cells,valid_languages,valid_manifest_tasks,valid_paper_task_labels,stability_score,interpretation_category,language_specificity_threshold,task_specificity_threshold,display_name,category_order,category_label,category_prefix,family_color
syn_noun_ratio,noun ratio,syn,syntax,False,0.6571698859536992,0.875,0.26202076216132486,0.3078196750781035,8,4,6,FC|FT|NA|PD,7,translingual candidate,0.30153161635750253,0.37651289142833966,noun ratio,0,Translingual candidates,TL,#b07aa1
pause_short_count,short pauses,pause,pause/fluency,False,0.47712107439231016,0.8,0.20400125316173454,0.36688247759556797,5,2,4,FC|FT|PD,2,translingual candidate,0.30153161635750253,0.37651289142833966,short pauses,0,Translingual candidates,TL,#e15759
ac_egemaps_mfcc2v_sma3nz_amean,egemaps mfcc2v sma3nz amean,ac,acoustic,False,0.43516132766542653,1.0,0.2775230194654729,0.37651289142833966,4,2,4,FC|FT|PD,0,translingual candidate,0.30153161635750253,0.37651289142833966,egemaps mfcc2v sma3nz amean,0,Translingual candidates,TL,#4e79a7
syn_noun_verb_ratio,noun/verb ratio,syn,syntax,False,0.43485000770607984,0.875,0.04825845749913696,0.3482085427595349,8,4,6,FC|FT|NA|PD,4,translingual candidate,0.30153161635750253,0.37651289142833966,noun/verb ratio,0,Translingual candidates,TL,#b07aa1
ac_egemaps_slopev500_1500_sma3nz_stddevnorm,egemaps slopev500 1500 sma3nz s...,ac,acoustic,False,0.4334368654821037,0.75,0.026379205726021593,0.35330737124336004,4,2,4,FC|FT|PD,0,translingual candidate,0.30153161635750253,0.37651289142833966,egemaps slopev500 1500 sma3nz stdde...,0,Translingual candidates,TL,#4e79a7
syn_content_function_ratio,content function ratio,syn,syntax,False,0.4327132397804767,0.75,0.17337048952763917,0.24670312018023183,8,4,6,FC|FT|NA|PD,1,translingual candidate,0.30153161635750253,0.37651289142833966,content function ratio,0,Translingual candidates,TL,#b07aa1
syn_aux_verb_ratio,aux verb ratio,syn,syntax,False,0.4163741982764292,0.875,0.14945057838334494,0.25278131785237845,8,4,6,FC|FT|NA|PD,3,translingual candidate,0.30153161635750253,0.37651289142833966,aux verb ratio,0,Translingual candidates,TL,#b07aa1
disc_repeated_bigram_ratio,repeated bigram ratio,disc,discourse,False,0.40410334699626727,1.0,0.30117740513201174,0.24377345222386124,8,4,6,FC|FT|NA|PD,3,translingual candidate,0.30153161635750253,0.37651289142833966,repeated bigram ratio,0,Translingual candidates,TL,#f28e2b
lex_hapax_ratio,hapax ratio,lex,lexical,False,0.37441355139548704,0.875,0.24960076625664207,0.25655954786214774,8,4,6,FC|FT|NA|PD,4,translingual candidate,0.30153161635750253,0.37651289142833966,hapax ratio,0,Translingual candidates,TL,#59a14f
ac_egemaps_voicedsegmentspersec,egemaps voicedsegmentspersec,ac,acoustic,False,0.36336289993599,0.75,0.29483973084830284,0.30211897611153254,4,2,4,FC|FT|PD,0,translingual candidate,0.30153161635750253,0.37651289142833966,egemaps voicedsegmentspersec,0,Translingual candidates,TL,#4e79a7
lex_content_word_ratio,content-word ratio,lex,lexical,False,0.5921477348372943,0.75,0.5821089556388572,0.309869589796654,8,4,6,FC|FT|NA|PD,7,language-sensitive candidate,0.30153161635750253,0.37651289142833966,content-word ratio,1,Language-sensitive candidates,LS,#59a14f
disc_mean_pairwise_utt_similarity,utterance similarity,disc,discourse,False,0.4830107606752531,0.875,0.4951737753924681,0.37193814678814185,8,4,6,FC|FT|NA|PD,4,language-sensitive candidate,0.30153161635750253,0.37651289142833966,utterance similarity,1,Language-sensitive candidates,LS,#f28e2b
syn_subordination_ratio,subordination ratio,syn,syntax,False,0.4341745092008313,0.75,0.4227065358744601,0.25251871451372265,8,4,6,FC|FT|NA|PD,5,language-sensitive candidate,0.30153161635750253,0.37651289142833966,subordination ratio,1,Language-sensitive candidates,LS,#b07aa1
lex_mattr_20,MATTR 20,lex,lexical,False,0.6022707546303676,0.875,0.3984321986787172,0.33816739205553265,8,4,6,FC|FT|NA|PD,10,language-sensitive candidate,0.30153161635750253,0.37651289142833966,MATTR 20,1,Language-sensitive candidates,LS,#59a14f
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,ac,acoustic,False,0.3026101148361905,0.75,0.3679455331387246,0.3286004311626258,4,2,4,FC|FT|PD,1,language-sensitive candidate,0.30153161635750253,0.37651289142833966,logRelF0 H1-A3,1,Language-sensitive candidates,LS,#4e79a7
lex_type_token_ratio,type token ratio,lex,lexical,False,0.4330301120192348,0.75,0.3324094971186024,0.29094824455354046,8,4,6,FC|FT|NA|PD,4,language-sensitive candidate,0.30153161635750253,0.37651289142833966,type token ratio,1,Language-sensitive candidates,LS,#59a14f
lex_repetition_rate,repetition rate,lex,lexical,False,0.4330301120192342,0.75,0.3324094971186021,0.290948244553541,8,4,6,FC|FT|NA|PD,4,language-sensitive candidate,0.30153161635750253,0.37651289142833966,repetition rate,1,Language-sensitive candidates,LS,#59a14f
disc_repeated_unigram_ratio,repeated unigram ratio,disc,discourse,False,0.4330301120192342,0.75,0.3324094971186021,0.290948244553541,8,4,6,FC|FT|NA|PD,3,language-sensitive candidate,0.30153161635750253,0.37651289142833966,repeated unigram ratio,1,Language-sensitive candidates,LS,#f28e2b
ac_egemaps_slopeuv0_500_sma3nz_amean,egemaps slopeuv0 500 sma3nz amean,ac,acoustic,False,1.1284403114168982,0.75,0.0798954525828035,0.8506304790998404,4,2,4,FC|FT|PD,4,task-sensitive,0.30153161635750253,0.37651289142833966,egemaps slopeuv0 500 sma3nz amean,2,Task-sensitive candidates,TS,#4e79a7
ac_egemaps_shimmerlocaldb_sma3nz_stddevnorm,egemaps shimmerlocaldb sma3nz s...,ac,acoustic,False,0.8179164277440075,0.75,0.0845143650635228,0.6559690662741468,4,2,4,FC|FT|PD,3,task-sensitive,0.30153161635750253,0.37651289142833966,egemaps shimmerlocaldb sma3nz stdde...,2,Task-sensitive candidates,TS,#4e79a7
syn_obj_ratio,object ratio,syn,syntax,False,0.5246326478073435,0.75,0.2967721494884395,0.5772768603771339,8,4,6,FC|FT|NA|PD,3,task-sensitive,0.30153161635750253,0.37651289142833966,object ratio,2,Task-sensitive candidates,TS,#b07aa1
sx_low_similarity_frac_05,low similarity frac 05,sx,syntax,False,0.36866185658561335,0.75,0.2415892541113205,0.5283170110760603,8,4,6,FC|FT|NA|PD,0,task-sensitive,0.30153161635750253,0.37651289142833966,low similarity frac 05,2,Task-sensitive candidates,TS,#9c755f
ac_egemaps_slopev0_500_sma3nz_amean,egemaps slopev0 500 sma3nz amean,ac,acoustic,False,0.6073921163922993,0.75,0.13640152501288752,0.43861883969133253,4,2,4,FC|FT|PD,2,task-sensitive,0.30153161635750253,0.37651289142833966,egemaps slopev0 500 sma3nz amean,2,Task-sensitive candidates,TS,#4e79a7
ac_egemaps_f1bandwidth_sma3nz_amean,egemaps f1bandwidth sma3nz amean,ac,acoustic,False,0.38860155995435214,0.75,0.1859600179319321,0.42291917588388206,4,2,4,FC|FT|PD,1,task-sensitive,0.30153161635750253,0.37651289142833966,egemaps f1bandwidth sma3nz amean,2,Task-sensitive candidates,TS,#4e79a7
ac_egemaps_alpharatiouv_sma3nz_amean,egemaps alpharatiouv sma3nz amean,ac,acoustic,False,0.43764608443320485,0.75,0.17251627614205498,0.42119884578513184,4,2,4,FC|FT|PD,2,task-sensitive,0.30153161635750253,0.37651289142833966,egemaps alpharatiouv sma3nz amean,2,Task-sensitive candidates,TS,#4e79a7
lex_function_word_ratio,function-word ratio,lex,lexical,False,0.5180197377859252,0.75,0.21728949474616235,0.413040532460545,8,4,6,FC|FT|NA|PD,4,task-sensitive,0.30153161635750253,0.37651289142833966,function-word ratio,2,Task-sensitive candidates,TS,#59a14f
ac_mfcc_1_mean,mfcc 1 mean,ac,acoustic,False,2.2088078008165644,0.75,1.1096412153096162,2.069298604476541,4,2,4,FC|FT|PD,5,language-task confounded,0.30153161635750253,0.37651289142833966,mfcc 1 mean,3,Language-task confounded,LTC,#4e79a7
ac_egemaps_loudness_sma3_percentile20_0,loudness p20,ac,acoustic,False,1.8905519614664152,0.75,0.998605928486619,2.0095060667179276,4,2,4,FC|FT|PD,11,language-task confounded,0.30153161635750253,0.37651289142833966,loudness p20,3,Language-task confounded,LTC,#4e79a7
ac_egemaps_equivalentsoundlevel_dbp,egemaps equivalentsoundlevel dbp,ac,acoustic,False,1.7860423800201242,0.75,1.245679556528821,1.6461893810650567,4,2,4,FC|FT|PD,3,language-task confounded,0.30153161635750253,0.37651289142833966,egemaps equivalentsoundlevel dbp,3,Language-task confounded,LTC,#4e79a7
ac_egemaps_f2amplitudelogrelf0_sma3nz_amean,egemaps f2amplitudelogrelf0 sma...,ac,acoustic,False,1.4515120214350794,1.0,0.8680814541645843,2.000401680525837,4,2,4,FC|FT|PD,1,language-task confounded,0.30153161635750253,0.37651289142833966,egemaps f2amplitudelogrelf0 sma3nz...,3,Language-task confounded,LTC,#4e79a7
ac_egemaps_f3amplitudelogrelf0_sma3nz_amean,egemaps f3amplitudelogrelf0 sma...,ac,acoustic,False,1.4030005336819644,1.0,0.8380089714906778,1.9380646508732782,4,2,4,FC|FT|PD,1,language-task confounded,0.30153161635750253,0.37651289142833966,egemaps f3amplitudelogrelf0 sma3nz...,3,Language-task confounded,LTC,#4e79a7
ac_egemaps_f1amplitudelogrelf0_sma3nz_amean,egemaps f1amplitudelogrelf0 sma...,ac,acoustic,False,1.3243573804460493,1.0,0.8452291765626093,1.841564087932539,4,2,4,FC|FT|PD,2,language-task confounded,0.30153161635750253,0.37651289142833966,egemaps f1amplitudelogrelf0 sma3nz...,3,Language-task confounded,LTC,#4e79a7
ac_egemaps_f2amplitudelogrelf0_sma3nz_stddevnorm,egemaps f2amplitudelogrelf0 sma...,ac,acoustic,False,1.2866314976520372,0.75,0.7297725820491382,1.7444975150633275,4,2,4,FC|FT|PD,3,language-task confounded,0.30153161635750253,0.37651289142833966,egemaps f2amplitudelogrelf0 sma3nz...,3,Language-task confounded,LTC,#4e79a7
ac_egemaps_loudness_sma3_stddevrisingslope,loudness rising slope,ac,acoustic,False,1.2655800227192642,0.75,0.8712502318405672,0.9951538983742833,4,2,4,FC|FT|PD,10,language-task confounded,0.30153161635750253,0.37651289142833966,loudness rising slope,3,Language-task confounded,LTC,#4e79a7
ac_egemaps_loudness_sma3_stddevfallingslope,egemaps loudness sma3 stddevfal...,ac,acoustic,False,1.2442453812290257,0.75,0.8772936221341192,0.9710421652569372,4,2,4,FC|FT|PD,10,language-task confounded,0.30153161635750253,0.37651289142833966,egemaps loudness sma3 stddevfalling...,3,Language-task confounded,LTC,#4e79a7
ac_rms_std,rms std,ac,acoustic,False,1.2053074712901013,0.75,0.8992327996593595,0.9642475025870129,4,2,4,FC|FT|PD,9,language-task confounded,0.30153161635750253,0.37651289142833966,rms std,3,Language-task confounded,LTC,#4e79a7
