run_name,language_code,language,ranking_method,ranking_description,subset,top_k,num_features,tested_features,bonferroni_significant_features,fdr_significant_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,5,5,70,54,58,lr,c1,0.7505154639175258,0.6540317738881448,0.6562278497325859,0.4661016949152542,0.8419618528610354,0.48672566371681414,0.702627811388722,0.5358658454247545
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,5,5,70,54,58,dt,depth20,0.7855670103092783,0.6283194014686186,0.6452883263009845,0.3220338983050847,0.9346049046321526,0.6129032258064516,0.6381679213042073,0.37700152203072707
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,5,5,70,54,58,rf,n200,0.8185567010309278,0.675991779430102,0.7024041947899816,0.3983050847457627,0.9536784741144414,0.734375,0.7285826444372605,0.5310876412917565
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,5,5,70,54,58,svm,linear_c1,0.7649484536082474,0.6635685586292892,0.6691282075833014,0.4661016949152542,0.8610354223433242,0.5188679245283019,0.6768346187595252,0.5096978693281327
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,5,5,70,54,58,svm,rbf_c1,0.7814432989690722,0.6572183992980187,0.6710054779091793,0.4152542372881356,0.8991825613079019,0.5697674418604651,0.7054911559599132,0.541578850034187
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,10,10,70,54,58,lr,c1,0.756701030927835,0.7041172123955111,0.6899783315276273,0.6016949152542372,0.8065395095367848,0.5,0.7744654320417494,0.6264110273360668
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,10,10,70,54,58,dt,depth20,0.7237113402061855,0.6506950538031682,0.6426450534465314,0.5084745762711864,0.7929155313351499,0.4411764705882353,0.6870872396434675,0.4247580126964161
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,10,10,70,54,58,rf,n200,0.7546391752577319,0.6711310211056205,0.6696506762673933,0.5084745762711864,0.8337874659400545,0.49586776859504134,0.7300027709786173,0.6015153320541562
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,10,10,70,54,58,svm,linear_c1,0.7731958762886598,0.6690181499099432,0.6766666666666667,0.4661016949152542,0.8719346049046321,0.5392156862745098,0.6566526578303238,0.5414008709493252
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,10,10,70,54,58,svm,rbf_c1,0.7896907216494845,0.6885420034175402,0.6982358969353895,0.4915254237288136,0.885558583106267,0.58,0.7898905463446174,0.6457313763304229
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,20,20,70,54,58,lr,c1,0.734020618556701,0.7150048492125802,0.6821029526088747,0.6779661016949152,0.7520435967302452,0.4678362573099415,0.7929732600563433,0.6527274203533253
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,20,20,70,54,58,dt,depth20,0.7422680412371134,0.6802059760772179,0.6691515545101805,0.559322033898305,0.8010899182561307,0.4748201438848921,0.7074539324804877,0.429635781788701
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,20,20,70,54,58,rf,n200,0.8391752577319588,0.7126148801551748,0.7426810687272134,0.4661016949152542,0.9591280653950953,0.7857142857142857,0.8053618436244401,0.7049065996016846
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,20,20,70,54,58,svm,linear_c1,0.7670103092783506,0.7109292014963284,0.6994103935280406,0.6016949152542372,0.8201634877384196,0.5182481751824818,0.8062162286981019,0.6526413926656263
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,20,20,70,54,58,svm,rbf_c1,0.8185567010309278,0.7421142566849859,0.7477183524849861,0.5932203389830508,0.8910081743869209,0.6363636363636364,0.8153489123908928,0.6805829819672882
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,50,50,70,54,58,lr,c1,0.7422680412371134,0.711829769546945,0.68553703790154,0.652542372881356,0.771117166212534,0.4782608695652174,0.7906525654643698,0.6524737854992481
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,50,50,70,54,58,dt,depth20,0.7670103092783506,0.6793054080266014,0.6808485857874109,0.5084745762711864,0.8501362397820164,0.5217391304347826,0.6837389738142521,0.39697238885692926
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,50,50,70,54,58,rf,n200,0.8494845360824742,0.6993026370479841,0.7384556286889908,0.4067796610169492,0.9918256130790191,0.9411764705882353,0.8336027340322357,0.729337122116646
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,50,50,70,54,58,svm,linear_c1,0.7546391752577319,0.697005033944488,0.6850322798936919,0.5847457627118644,0.8092643051771117,0.49640287769784175,0.7812081466771348,0.6229442481049621
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,50,50,70,54,58,svm,rbf_c1,0.8103092783505155,0.7452893363506212,0.7438811590209855,0.6186440677966102,0.8719346049046321,0.6083333333333333,0.8069320648408996,0.6530390113189828
language_en_all_rich,en,English,welch,"Welch t-test, Bonferroni-significant first, then absolute Cohen's d",all_universal,100,70,70,54,58,lr,c1,0.7422680412371134,0.7003302082852261,0.6799592459443908,0.6186440677966102,0.782016348773842,0.477124183006536,0.8030296032882279,0.6552737225743002
